author_name,author_last_name,author_first_names,author_orcid,author_isni,author_scopus_id,author_links,author_default_publishing_name,author_known_as_name,affl_start_date,affl_end_date,author_uuid,author_pureid,last_modified,affl_periods,org_names,org_uuids,org_pureids,faculty_name,faculty_uuid
"Aarden, A.C.",Aarden,A.C.,,0000000390625532,,,,,2007-03-01 12:00:00.0,2010-03-31 12:00:00.0,6a1abfce-ea6c-49e4-a469-8359e5cd634f,3082861,2022-12-15 00:40:47.058,1/03/07 → 31/03/10,Signals and Systems (SAS),322b894d-4c32-4cda-9c9c-8f293f1665b7,2989333,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Aarnink, Antonius A.I.",Aarnink,Antonius A.I.,,0000000389525091,8680297900,,,,1981-01-01 12:00:00.0 | 2001-08-02 12:00:00.0 | 2007-01-01 12:00:00.0 | 2016-01-01 12:00:00.0 | 2018-01-01 12:00:00.0 | 2021-07-01 12:00:00.0,2001-08-02 12:00:00.0 | 2015-12-31 00:00:00.0 | 2017-10-12 21:02:41.27 | 2018-01-01 21:00:36.382 | 2021-11-29 21:30:07.275,970efffc-0a71-4a9d-b218-6fb3853721ea,3061808,2024-04-05 23:53:22.15,1/01/81 → 1/01/18 | 2/08/01 → 2/08/01 | 1/01/07 → 31/12/15 | 1/01/16 → 12/10/17 | 1/01/18 → 29/11/21 | 1/01/18 → … | 1/07/21 → …,Integrated Devices and Systems | Semiconductor Components,00ae3f7b-e36e-4db2-a8b9-b89a590370f9 | 163069a8-7fef-4af7-b207-69559c1f9511 | 52df0e20-7079-4f1f-9d05-4410ab8f0953,2989784 | 163007251 | 247291733,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Aarts, Henricus F.M.",Aarts,Henricus F.M.,,000000038961393X,7006045722,,,"Aarts, Harry F.M.",1994-09-15 12:00:00.0 | 2002-02-01 12:00:00.0 | 2019-02-01 12:00:00.0,1997-03-01 12:00:00.0 | 2019-01-31 12:00:00.0 | 2020-08-09 12:00:00.0,643dc1e7-f7f7-42f2-b747-c9543de8477c,3133856,2023-11-01 23:53:19.791,15/09/94 → 1/03/97 | 1/02/02 → 31/01/19 | 1/02/19 → 9/08/20,Discrete Mathematics and Mathematical Programming | Fundamentele Analyse | Mathematics of Operations Research,04915ebb-5153-47f6-b208-b0ae5921baeb | 71e331f7-29c7-4181-8e24-b2f20a04e646 | f747ad65-4c82-42ab-80a3-11334208dd7f,2989564 | 2989916 | 163007219,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Aba, Rıdvan",Aba,Rıdvan,,,,,,,2023-06-01 12:00:00.0,,28f77782-a56c-417e-a14e-28ba464fc697,283504732,2024-04-02 23:56:41.522,1/06/23 → …,Power Electronics,62457ca7-5df3-4cd5-8484-6b4f7426a4bf,163006885,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Abayazid, Momen",Abayazid,Momen,0000-0003-1857-5921,0000000396953991,54787379000,,,,2011-02-01 12:00:00.0 | 2015-02-01 12:00:00.0 | 2016-09-01 12:00:00.0 | 2017-01-01 12:00:00.0 | 2018-01-01 12:00:00.0 | 2021-03-18 12:00:00.0 | 2021-09-01 12:00:00.0 | 2021-10-11 12:00:00.0 | 2023-09-01 12:00:00.0,2015-01-31 12:00:00.0 | 2015-08-31 12:00:00.0 | 2016-12-31 00:00:00.0 | 2021-01-01 12:00:00.0 | 2021-08-31 21:31:01.506 | 2021-09-01 21:31:05.037 | 2021-12-06 21:31:02.345 | 2022-07-20 21:34:20.169,887eca27-d63d-4740-8347-61a95222f279,3113457,2024-04-15 23:56:02.98,1/02/11 → 31/01/15 | 1/02/15 → 31/08/15 | 1/09/16 → 31/12/16 | 1/09/16 → … | 1/01/17 → 31/08/21 | 1/01/18 → … | 1/01/18 → 31/08/21 | 1/01/18 → 1/01/21 | 18/03/21 → 1/09/21 | 1/09/21 → 6/12/21 | 11/10/21 → 20/07/22 | 1/09/23 → …,Robotics and Mechatronics,1ef24e54-8a53-4b6b-affb-2417ac4616f3 | 29503759-c2d2-4862-b5b3-722765a6d799 | 513596a7-ef31-4ba1-b801-1ac9cf83453e | 6ce13ab0-6c3a-4f1e-8b88-b44886c86a07 | 8e72ef27-5382-4352-b151-27e6826edc76,2988640 | 2989795 | 163007152 | 247291780 | 247291859,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Abbas, Yawar ",Abbas,Yawar,,0000 0004 1957 9032,57069900800,,,,2011-12-01 12:00:00.0 | 2015-12-01 12:00:00.0 | 2016-05-01 12:00:00.0,2015-11-30 12:00:00.0 | 2016-04-30 00:00:00.0 | 2017-07-31 12:00:00.0,24df0e0f-2fe9-4593-abd3-99875d12ed88,3051107,2024-04-12 23:56:03.896,1/12/11 → 30/11/15 | 1/12/15 → 30/04/16 | 1/05/16 → 31/07/17,Applied Microfluidics for BioEngineering Research | Biomedical and Environmental Sensorsystems,5906fca5-f714-48bd-a86a-7e8c0a609bde | e2b725df-c44b-4d81-b28c-d06b5a18ecf6,2989663 | 2990015,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abbas mohamed, S.M.",Abbas mohamed,S.M.,,,,,,,1997-07-01 12:00:00.0 | 2002-07-01 12:00:00.0,2002-07-01 12:00:00.0 | 2003-01-01 12:00:00.0,df4f2660-ad30-4eff-9764-340b165be457,3068216,2022-12-15 00:37:57.322,1/07/97 → 1/07/02 | 1/07/02 → 1/01/03,Integrated Optical MicroSystems (IOMS),2d0d0d34-e96c-4050-ba43-711bed2901a2,2989454,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abbasi, Ali ",Abbasi,Ali,,,,,,,2013-11-01 12:00:00.0 | 2014-10-14 12:00:00.0,2017-05-17 12:19:07.855 | 2017-10-31 00:00:00.0,af7800ed-a645-4844-8654-6657c3e4ea39,3099475,2024-03-28 23:54:13.203,1/11/13 → 31/10/17 | 14/10/14 → 17/05/17,"Services, Cybersecurity & Safety",bc931183-756b-4f92-81d8-006bda6677ce | c97f26c8-ca1f-4472-a84c-970571a0c348,2989069 | 2989773,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abbasi Alaei, Masoud",Abbasi Alaei,Masoud,0000-0003-2424-5013,0000000503179744,,https://www.linkedin.com/in/masoudabbasialaei/,,,2017-02-15 12:00:00.0 | 2018-01-01 12:00:00.0 | 2020-01-01 12:00:00.0,2020-03-02 21:00:25.729 | 2021-05-21 09:32:31.664,7c1019f2-4b23-4e21-946e-a4df5ff0eb41,3027797,2024-03-31 23:54:31.729,15/02/17 → 2/03/20 | 1/01/18 → 21/05/21 | 1/01/20 → 21/05/21,Computer Architecture Design and Test for Embedded Systems | Radio Systems,29503759-c2d2-4862-b5b3-722765a6d799 | 450289e4-d268-472d-a597-f71c30576f9a | ae548425-3254-42e3-bfca-784724f96444,163006798 | 172864011 | 247291780,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Abbing, Julian Ronald",Abbing,Julian Ronald,0000-0001-6899-1048,0000000511336981,,https://www.linkedin.com/in/julian-ronald-abbing/,"Abbing, Julian R.",,2021-01-01 12:00:00.0,,60009460-c4ea-4183-8b8a-bb8b29eb65eb,252056101,2023-11-06 23:50:33.241,1/01/21 → … | 1/01/21 → … | 1/01/21 → …,Robotics and Mechatronics,1ef24e54-8a53-4b6b-affb-2417ac4616f3 | 29503759-c2d2-4862-b5b3-722765a6d799 | 513596a7-ef31-4ba1-b801-1ac9cf83453e,163007152 | 247291780 | 247291859,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
