pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
312535169,2023-05-12,2023-05-12,,In their own words,"Hartel, Pieter Hendrik | Junger, Marianne | Koning, Luka | Veldkamp, Bernard P.","Hartel, Pieter | Junger, Marianne | Koning, Luka | Veldkamp, Bernard","Cognition, Data and Education | Digital Society Institute | Industrial Engineering & Business Information Systems | Semantics, Cybersecurity & Services | TechMed Centre",https://doi.org/10.3389/fpsyg.2023.1135369,http://www.scopus.com/inward/record.url?scp=85160089988&partnerID=8YFLogxK,,,3562.26,2023-07-18 15:19:50.215,fpsyg-14-1135369,,1135369,Article,2023,Open,deception-detection | fraud victimization | human factors | online fraud | crime victimization | cybercrime,2024-01-10 04:11:51.335,Scopus,,Frontiers in psychology,1664-1078,3094405 | 3098588 | 3111306 | 142995359,,True,Frontiers Research Foundation,,,,
255134692,2021-06-07,2021-06-07,,Anatomy-aided deep learning for medical image segmentation,"Brune, Christoph | Liu, Lu | Veldhuis, Raymond | Wolterink, Jelmer Maarten","Brune, Christoph | Liu, Lu | Veldhuis, Raymond N.J. | Wolterink, Jelmer M.",Applied Analysis | Datamanagement & Biometrics | Digital Society Institute | Mathematics of Imaging & AI | TechMed Centre,https://doi.org/10.1088/1361-6560/abfbf4,,,,3448.5,2021-06-07 13:49:27.299,Article,,11TR01,Review article,2021,Open,UT-Hybrid-D,2024-02-17 23:34:18.24,ORCID,,Physics in medicine and biology,0031-9155,3017802 | 3124471 | 74739046 | 178053516,,False,Institute of Physics (IOP),,,,
274667627,2021-11-15,2021-11-15,,An ECHO of cartilage,"Kannan, Sakshi | Karperien, Hermanus Bernardus Johannes | Langerak, Romanus | Plass, Jacqueline Regina Maria | Post, Janine Nicole | Schivo, Stefano | Scholma, Jetse | Zhong, Leilei | van de Pol, Jan Cornelis","Geris, Liesbet | Karperien, Marcel | Kerkhofs, Johan | Khurana, Sakshi | Langerak, Rom | Mersinis, Nikolas | Plass, Jacqueline R.M. | Post, Janine N. | Schivo, Stefano | Scholma, Jetse | Zhong, Leilei | van de Pol, Jaco",Developmental BioEngineering | Digital Society Institute | Formal Methods and Tools | TechMed Centre,https://doi.org/10.3389/fbioe.2021.732917,http://www.scopus.com/inward/record.url?scp=85120527039&partnerID=8YFLogxK,21,,3106.07,2021-12-21 15:44:17.57,Article,,732917,Article,2021,Open,BMP7 | chondrogenesis | hypertrophy | IGF | computational model | PTHrP | UT-Gold-D | signal transduction,2024-01-07 01:17:34.73,Scopus,,Frontiers in bioengineering and biotechnology,2296-4185,3016020 | 3050511 | 3073122 | 3116686 | 3125279 | 3130959 | 3137783 | 3139381 | 323591801,,True,Frontiers Research Foundation,,,,
343838197,2023-05-19,2023-09-01,2023-05-19,RoseMatcher,"Daneva, Maia | Wang, Chong | van Sinderen, Marten J.","Daneva, Maya | Huang, Kun | Liang, Peng | Liu, Tianyang | Wang, Chong | Zhang, Beiqi | van Sinderen, Marten","Digital Society Institute | Semantics, Cybersecurity & Services",https://doi.org/10.1016/j.infsof.2023.107261,,17,,3089.0,2023-12-15 09:29:22.387,Article,,107261,Article,2023,Open,App store | User reviews | Natural language processing | Release notes | 2023 OA procedure,2024-02-19 07:07:39.388,,,Information and software technology,0950-5849,3058426 | 3092243 | 3100140,,False,Elsevier,,,,
306438661,2023-04-18,2023-05-01,2023-04-18,Automated assessment of human engineered heart tissues using deep learning and template matching for segmentation and tracking,"Boonen, Tom Mathijs Paulus Maria | Cofino Fabres, Carla | Passier, Petrus Christianus Johannes Josephus | Rivera Arbelaez, José Manuel | Segerink, Loes Irene | Strisciuglio, Nicola | Ten Den, Simone Anouk | Vermeul, Kim | van den Berg, Albert","Boonen, Tom | Cofiño-Fabres, Carla | Dostanic, Milica | Keekstra, Danjel | Mastrangeli, Massimo | Passier, Robert | Ribeiro, Marcelo C. | Rivera-Arbeláez, José M. | Segerink, Loes I. | Strisciuglio, Nicola | Vermeul, Kim | ten Den, Simone A. | van den Berg, Albert",Applied Stem Cell Technologies | Biomedical and Environmental Sensorsystems | Datamanagement & Biometrics | MESA+ Institute | Mesa+ | TechMed Centre,https://doi.org/10.1002/btm2.10513,http://www.scopus.com/inward/record.url?scp=85153269093&partnerID=8YFLogxK,15,,2601.5,2023-05-24 16:40:15.503,Bioengineering Transla Med - 2023 - Rivera‐Arbel ez - Automated assessment of human engineered heart tissues using deep,,e10513,Article,2023,Open,segmentation | deep learning | engineered heart tissues | automated tracking | cardiac performance | contractile force | template matching | sub-pixel interpolation,2024-03-01 06:12:37.305,Scopus,,Bioengineering and Translational Medicine,2380-6761,3059204 | 3074006 | 3090212 | 3112201 | 17112761 | 60520116 | 67475511 | 136834918 | 150907479,,True,Wiley,,,,
280962772,2022-05-24,2022-12-01,2022-05-24,Factors used by general practitioners for referring patients with chronic musculoskeletal pain,"Jansen, Duncan Jurriaan | Prosman, Gert-Jan | Slatman, Eli Sylvester | d'Hollosy, Wendeline","Broeks, Jose | Jansen, Duncan Jurriaan | Mossink, Annemiek | Prosman, Gert-Jan | Slatman, Eli Sylvester | d'Hollosy, Wendy | van der Lugt, Peter","Biomedical Signals and Systems | Datamanagement & Biometrics | Digital Society Institute | Psychology, Health & Technology | TechMed Centre",https://doi.org/10.1186/s12875-022-01743-6,,12,,2595.45,2022-06-02 10:45:03.686,Article,,126,Article,2022,Open,"Chronic musculoskeletal pain | , Referral factors | Semi-structured interviews | General practitioners",2024-01-05 17:32:51.9,,,BMC family practice,1471-2296,3035888 | 39784532 | 136835799 | 206720565,,True,BioMed Central,,,,
287322197,2022-10-19,2022-01-01,2022-10-19,"AI-Enabled Reliable QoS in Multi-RAT Wireless IoT Networks: Prospects, Challenges, and Future Directions","Chiumento, Alessandro | Havinga, Paul J.M. | Zia, Kamran","Chiumento, Alessandro | Havinga, Paul J.M. | Zia, Kamran",Digital Society Institute | Pervasive Systems,https://doi.org/10.1109/OJCOMS.2022.3215731,,24,1906 - 1929,2287.99,2022-11-02 10:53:02.888,10.1109_ojcoms.2022.3215731,,9924256,Article,2022,Open,,2024-01-05 20:25:57.31,,,IEEE Open Journal of the Communications Society,,3014255 | 172332394 | 254434974,,True,IEEE,,,,
254067540,2021-03-06,2021-03-06,,Threat Modeling — How to Visualize Attacks on IOTA?,"Havinga, Paul J.M. | Meratnia, Nirvana | Ullah, Ikram","Havinga, Paul | Meratnia, Nirvana | Ullah, Ikram | de Roode, Gerard",Digital Society Institute | Pervasive Systems,https://doi.org/10.3390/s21051834,http://www.scopus.com/inward/record.url?scp=85101975243&partnerID=8YFLogxK,33,,2180.77,2021-05-10 14:52:13.552,sensors-21-01834-v2,,1834,Article,2021,Open,Blockchain | IoT | CVSS v3.0 | Decentralization | IOTA | Vulnerabilities,2024-01-06 16:40:22.256,Bibtex,,Sensors (Switzerland),1424-8220,3014255 | 3024212 | 21212547,,True,MDPI,,,,
283229849,2022-06-27,2022-09-01,2022-06-27,Transferability analysis of adversarial attacks on gender classification to face recognition,"Bassit, Amina | Rezgui, Zohra | Veldhuis, Raymond","Bassit, Amina | Rezgui, Zohra | Veldhuis, Raymond",Datamanagement & Biometrics | Digital Society Institute,https://doi.org/10.1049/bme2.12082,,13,407-419,2178.0,2022-07-13 14:04:11.767,Article,,,Article,2022,Open,Gender classification | Face recognition | Adversarial attacks | Privacy protection,2024-01-05 18:06:21.975,WOS,,IET biometrics,2047-4938,3124471 | 117759951 | 220858134,,True,The Institution of Engineering and Technology,,,,
268385894,2021-10-26,2021-10-26,,Fast and Accurate Likelihood Ratio Based Biometric Verification Secure Against Malicious Adversaries,"Bassit, Amina | Hahn, Florian Werner | Kevenaar, Tom  | Peter, Andreas | Veldhuis, Raymond","Bassit, Amina | Hahn, Florian | Kevenaar, Tom | Peeters, Joep | Peter, Andreas | Veldhuis, Raymond","Datamanagement & Biometrics | Semantics, Cybersecurity & Services",https://doi.org/10.1109/TIFS.2021.3122823,http://www.scopus.com/inward/record.url?scp=85118585826&partnerID=8YFLogxK,16,5045-5060,2153.19,2021-11-15 11:26:59.689,Article,,,Article,2021,Open,Servers | Authentication | Biometrics (access control) | Probes | Semi-honest and malicious models | Secure two-party computation | Security | Threshold homomorphic encryption | Protocols | Feature extraction | Biometric verification,2024-02-11 04:45:59.398,Scopus,,IEEE transactions on information forensics and security,1556-6013,3124471 | 3131042 | 31494069 | 117759843 | 117759951,,False,IEEE,,,,
288833725,2022-12-06,2022-12-06,2022-12-06,Channel Contribution In Deep Learning Based Automatic Sleep Scoring – How Many Channels Do We Need?,"Englebienne, Gwenn | Lu, Changqing | Pathak, Shreyasi | Seifert, Christin","Englebienne, Gwenn | Lu, Changqing | Pathak, Shreyasi | Seifert, Christin",Datamanagement & Biometrics | Digital Society Institute | Human Media Interaction | Mathematics of Operations Research | TechMed Centre,https://doi.org/10.1109/TNSRE.2022.3227040,,12,494-505,2120.91,2022-12-12 14:41:09.381,Article,,,Article,2022,Open,Deep Learning | EMG | EEG | Channel contribution | Multi-channel multi-modal sleep scoring | EOG,2024-02-08 16:20:06.029,,,IEEE transactions on neural systems and rehabilitation engineering,1534-4320,3144666 | 21212318 | 60520600 | 220857895,,True,IEEE,,,,
277868846,2021-12-01,2021-12-01,,Privacy Rating,"Barth, Susanne | Hartel, Pieter Hendrik | Ionita, Dan | Junger, Marianne | de Jong, Menno D.T.","Barth, Susanne | Hartel, Pieter | Ionita, Dan | Junger, Marianne | de Jong, Menno","Communication Science | Digital Society Institute | Professional Learning Development | Semantics, Cybersecurity & Services",https://doi.org/10.1109/TPC.2021.3110617,http://www.scopus.com/inward/record.url?scp=85119434142&partnerID=8YFLogxK,20,354-373,2120.9,2022-03-24 10:45:22.941,Barth-2021-Privacy-rating-a-user-centered-appr,,,Review article,2021,Open,user-centered design | privacy visualization | usability | Online privacy | privacy rating,2024-01-07 05:05:04.647,Scopus,,IEEE transactions on professional communication,0361-1434,3094405 | 3098588 | 3099834 | 3114932 | 3125589,,False,IEEE,,,,
285203385,2022-07-01,2022-07-01,,The network signature of constellation line figures,"Bucur, Doina","Bucur, Doina",Datamanagement & Biometrics | Digital Society Institute,https://doi.org/10.1371/journal.pone.0272270,http://www.scopus.com/inward/record.url?scp=85135027486&partnerID=8YFLogxK,,,2044.64,2022-09-08 10:55:55.169,Bucur-2022-The-network-signature-of-constellat,,e0272270,Article,2022,Open,,2024-01-05 19:09:11.355,Scopus,,PLoS ONE,1932-6203,3018915,,True,Public Library of Science,,,,
286116735,2021-11-25,2021-11-25,,Framework for assessing ethical aspects of algorithms and their encompassing socio-technical system,"van Keulen, Maurice","van Bruxvoort, Xadya | van Keulen, Maurice",Datamanagement & Biometrics | TechMed Centre,https://doi.org/10.3390/app112311187,http://www.scopus.com/inward/record.url?scp=85119936369&partnerID=8YFLogxK,,,1963.93,2022-09-30 08:10:43.352,VanBruxvoort2021framework,,11187,Article,2021,Open,Artificial intelligence | Fraud detection | Algorithms | Ethical framework | Fairness | Responsible AI | UT-Gold-D | Ethics,2024-01-05 19:42:40.933,Scopus,,Applied Sciences (Switzerland),2076-3417,3016753,,True,MDPI,,,,
302977888,2023-04-14,2023-04-14,,Detecting fatigue of sport horses with biomechanical gait features using inertial sensors,"Darbandi, Hamed | Havinga, Paul J.M. | Parmentier, Jeanne Isabelle Monette","Darbandi, Hamed | Havinga, Paul J.M. | Munsters, Carolien | Parmentier, J.I.M.",Digital Society Institute | Pervasive Systems,https://doi.org/10.1371/journal.pone.0284554,,19,,1928.13,2023-04-18 13:11:38.861,journal.pone.0284554,,e0284554,Article,2023,Open,,2024-01-02 17:19:08.864,Bibtex,,PLoS ONE,1932-6203,3014255 | 101808257 | 142995294,,True,Public Library of Science,,,,
268066959,2021-10-27,2021-10-27,,Automated color detection in orchids using color labels and deep learning,"Apriyanti, Diah Harnoni | Lucas, Petrus Johannes Franciscus | Spreeuwers, Lieuwe Jan | Veldhuis, Raymond","Apriyanti, Diah Harnoni | Lucas, Peter J.F. | Spreeuwers, Luuk J. | Veldhuis, Raymond N.J.",Datamanagement & Biometrics,https://doi.org/10.1371/journal.pone.0259036,http://www.scopus.com/inward/record.url?scp=85118269684&partnerID=8YFLogxK,27,,1826.91,2021-11-08 10:18:39.327,journal.pone.0259036,,e0259036,Article,2021,Open,UT-Gold-D,2023-12-30 15:27:52.631,Scopus,,PLoS ONE,1932-6203,3014614 | 3027512 | 3124471 | 127390307,,True,Public Library of Science,,,,
276635978,2022-02-01,2022-04-01,2022-02-01,Understanding and modeling finger vascular pattern imaging,"Laanstra, Geert J. | Normakristagaluh, Pesigrihastamadya  | Spreeuwers, Lieuwe Jan | Veldhuis, Raymond","Laanstra, Geert Jan | Normakristagaluh, Pesigrihastamadya | Spreeuwers, Luuk | Veldhuis, Raymond",Datamanagement & Biometrics | Digital Society Institute,https://doi.org/10.1049/ipr2.12408,http://www.scopus.com/inward/record.url?scp=85123960876&partnerID=8YFLogxK,13,1280-1292,1815.0,2022-02-16 09:41:02.687,Normakristagaluh-2022-Understanding-and-modeling-finger-v,,,Article,2022,Open,,2024-01-21 05:47:59.403,Scopus,,IET Image Processing,1751-9659,3016999 | 3027512 | 3064444 | 3124471,,True,Institution of Engineering and Technology,,,,
256617056,2021-07-05,2021-07-14,2021-07-05,Multi-Receiver Cross-Correlation Technique for (B)FSK Radios,"Klumperink, Eric A.M. | Kokkeler, Andre B.J. | Mikhael, Mina Raafat Mitry | Nauta, Bram | Oude Alink, Mark Stefan | Purushothaman, Vijaya Kumar","Klumperink, Eric A.M. | Kokkeler, Andre B.J. | Mikhael, Mina R.M. | Nauta, Bram | Oude Alink, Mark S. | Purushothaman, Vijaya Kumar",Computer Architecture Design and Test for Embedded Systems | Digital Society Institute | Integrated Circuit Design | MESA+ Institute | Radio Systems,https://doi.org/10.1109/ACCESS.2021.3094772,,8,96791-96798,1789.64,2021-07-07 10:02:32.05,Purushothaman2021multi-receiver,,,Article,2021,Open,Mixer-first receiver | Noise reduction | Wireless sensor network (WSN) | Harmonic rejection | Low power | Cross correlation | Passive mixer | BFSK | Interferer-robustness,2024-01-06 18:44:36.373,,,IEEE Access,2169-3536,3039352 | 3043189 | 3045647 | 3080892 | 3089219 | 3097449,,True,IEEE,,,,
