[04 02] 00:15:40 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 00:15:40 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 00:15:40 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 00:15:40 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 00:15:40 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 00:19:41 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_ee_papers.csv
[04 02] 00:19:41 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_tcs_papers.csv using filters: [['TCS', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 00:19:41 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] TCS [value] 
[04 02] 00:19:41 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 00:19:41 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 00:19:41 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 3160 papers
[04 02] 00:22:25 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_tcs_papers.csv
[04 02] 01:26:43 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 01:26:43 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 01:26:43 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 01:26:43 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 01:26:43 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 01:28:31 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 01:28:31 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 01:28:31 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 01:28:31 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 01:28:31 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 01:32:38 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 01:32:38 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 01:32:38 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 01:32:38 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 01:32:38 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 01:34:44 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 01:34:44 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 01:34:44 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 01:34:44 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 01:34:44 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 01:37:11 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 01:37:11 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 01:37:11 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 01:37:11 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 01:37:11 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 01:39:08 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 01:39:08 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
