title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,is_eemcs?,is_ee?,is_tcs?,ut_corresponding_author,all_authors,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,best_oa_link,pdf_link_best_oa,other_oa_links,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
Interpreting and Correcting Medical Image Classification with PIP-Net,https://doi.org/10.1007/978-3-031-50396-2_11,2024,book-chapter,,,,Johannes H. Hegeman | Christin Seifert | Maurice van Keulen,DMB,True,True,True,,Jeroen Geerdink | Johannes H. Hegeman | Meike Nauta | Christin Seifert | Maurice van Keulen | Jörg Schlötterer,,False,closed,False,False,,,https://doi.org/10.1007/978-3-031-50396-2_11,,,,,https://openalex.org/W4391044633,,,,,,,,,,,198-215,18,,https://openalex.samuelmok.cc/paper/3491,https://openalex.samuelmok.cc/api/paper/3491,,
Exploring Genomic Sequence Alignment for Improving Side-Channel Analysis,https://doi.org/10.1007/978-3-031-51479-1_11,2024,book-chapter,978-3-031-51478-4,,,Nikolaos Alachiotis | Marco Ottavi,CAES,True,True,True,,Nikolaos Alachiotis | Marco Ottavi | Heitor Uchoa | V. Arora | Dennis Vermoen,,False,closed,False,True,,,https://doi.org/10.1007/978-3-031-51479-1_11,,,,,https://openalex.org/W4390742495,https://research.utwente.nl/en/publications/8f171bbd-90b9-457c-8a4b-e2345f052c2f,,,,,,,,,,203-221,19,,https://openalex.samuelmok.cc/paper/3495,https://openalex.samuelmok.cc/api/paper/3495,https://openalex.samuelmok.cc/api/pureentry/75925,https://openalex.samuelmok.cc/api/pilotpure/8561
A Quantitative Assessment Method for Microservices Granularity to Improve Maintainability,https://doi.org/10.1007/978-3-031-54712-6_13,2024,book-chapter,,Log Analysis and System Performance Diagnosis | Empirical Studies in Software Engineering | Cloud Computing and Big Data Technologies,,João Luiz Rebelo Moreira | Luís Ferreira Pires,SCS,True,False,True,,João Luiz Rebelo Moreira | Luís Ferreira Pires | Famke Driessen | Sander Van den Bosch | Paul Verhoeven,,False,closed,,,,,https://doi.org/10.1007/978-3-031-54712-6_13,,,,,https://openalex.org/W4392398189,,,,,,,,,,,211-226,16,,https://openalex.samuelmok.cc/paper/38459,https://openalex.samuelmok.cc/api/paper/38459,,
A Digitalization Phase Model for IT Consulting Services,https://doi.org/10.1007/978-3-031-54712-6_14,2024,book-chapter,,User Acceptance of Information Technology | Competition in Two-Sided Markets | Impact of Social Media on Consumer Behavior,,Meikel Bode | Maya Daneva | Marten van Sinderen,SCS,True,False,True,Meikel Bode,Meikel Bode | Maya Daneva | Marten van Sinderen,,False,closed,,,,,https://doi.org/10.1007/978-3-031-54712-6_14,,,,,https://openalex.org/W4392394436,,,,,,,,,,,227-243,17,,https://openalex.samuelmok.cc/paper/38460,https://openalex.samuelmok.cc/api/paper/38460,,
Monitoring Value Chains of Organic Beverages,https://doi.org/10.1007/978-3-031-54712-6_5,2024,book-chapter,,Traceability in Food Supply Chain Management | Food Waste Management and Reduction | Factors Affecting Meat Quality and Preservation,,Faiza Allah Bukhsh,DMB,True,True,True,,Faiza Allah Bukhsh | Patrício de Alencar Silva | Marcos E. Cintra | Francisco Milton Mendes Neto | Hugo D. Santos,,False,closed,,,,,https://doi.org/10.1007/978-3-031-54712-6_5,,,,,https://openalex.org/W4392398173,,,,,,,,,,,81-88,8,,https://openalex.samuelmok.cc/paper/38463,https://openalex.samuelmok.cc/api/paper/38463,,
The Role of Interoperability for Digital Twins,https://doi.org/10.1007/978-3-031-54712-6_9,2024,book-chapter,,Industry 4.0 and Digital Transformation in Manufacturing | Design and Operation of Reconfigurable Manufacturing Systems | Design for Manufacture and Assembly in Manufacturing,,João Luiz Rebelo Moreira,SCS,True,False,True,João Luiz Rebelo Moreira,João Luiz Rebelo Moreira,,False,closed,,,,,https://doi.org/10.1007/978-3-031-54712-6_9,,,,,https://openalex.org/W4392394496,,,,,,,,,,,139-157,19,,https://openalex.samuelmok.cc/paper/38464,https://openalex.samuelmok.cc/api/paper/38464,,
Examining Lexical Alignment in Human-Agent Conversations with GPT-3.5 and GPT-4 Models,https://doi.org/10.1007/978-3-031-54975-5_6,2024,book-chapter,,Artificial Intelligence in Service Industry | Natural Language Processing | Dialogue Act Modeling for Spoken Language Systems,,Sumit Srivastava | Mariët Theune,HMI,True,False,True,,Sumit Srivastava | Mariët Theune | Boxuan Wang,,False,closed,,,,,https://doi.org/10.1007/978-3-031-54975-5_6,,,,,https://openalex.org/W4392719656,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,94-114,21,,https://openalex.samuelmok.cc/paper/39149,https://openalex.samuelmok.cc/api/paper/39149,,
"Good for Children, Good for All?",https://doi.org/10.1007/978-3-031-56066-8_24,2024,book-chapter,,Impact of Media on Children's Development | Information and Communication Technologies for Development,,Theo Huibers,HMI,True,False,True,,Theo Huibers | Monica Landoni | Emiliana Murgia | Maria Soledad Pera,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56066-8_24,,,,,https://openalex.org/W4392799869,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,302-313,12,,https://openalex.samuelmok.cc/paper/39191,https://openalex.samuelmok.cc/api/paper/39191,,
Swamp of Reflectors: Investigating the Ecosystem of Open DNS Resolvers,https://doi.org/10.1007/978-3-031-56252-5_1,2024,book-chapter,,Network Intrusion Detection and Defense Mechanisms | Characterization and Detection of Android Malware | Language-based Information Flow Security,,Mattijs Jonker | Anna Sperotto | Ramin Yazdani,DACS,True,True,True,Ramin Yazdani,Mattijs Jonker | Anna Sperotto | Ramin Yazdani,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56252-5_1,,,,,https://openalex.org/W4392964430,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,3-18,16,,https://openalex.samuelmok.cc/paper/39192,https://openalex.samuelmok.cc/api/paper/39192,,
A New Angle: On Evolving Rotation Symmetric Boolean Functions,https://doi.org/10.1007/978-3-031-56852-7_19,2024,book-chapter,,Theory and Applications of Cellular Automata | Text Compression and Indexing Algorithms | DNA-based Computing and Data Storage,,Luca Mariot,SCS,True,False,True,,Luca Mariot | Claude Carlet | Marko Đurasević | Bruno Gašperov | Domagoj Jakobović | Stjepan Picek,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56852-7_19,,,,,https://openalex.org/W4392978790,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,287-302,16,,https://openalex.samuelmok.cc/paper/39193,https://openalex.samuelmok.cc/api/paper/39193,,
