,id,oa_type,is_oa,has_pure_entry,year,itemtype,faculty
0,527,gold,True,False,2024,journal-article,TNW
1,38426,hybrid,True,False,2024,journal-article,TNW
2,39146,hybrid,True,False,2024,journal-article,TNW | EEMCS
3,883,hybrid,True,True,2024,journal-article,TNW | Faculty of Science and Technology
4,887,hybrid,True,False,2024,journal-article,TNW
5,38427,hybrid,True,False,2024,journal-article,TNW
6,933,hybrid,True,True,2024,journal-article,TNW | Faculty of Science and Technology
7,38428,bronze,True,False,2024,journal-article,TNW | Faculty of Science and Technology
8,954,hybrid,True,False,2024,journal-article,TNW
9,976,gold,True,False,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
10,978,gold,True,True,2024,journal-article,TNW
11,1030,bronze,True,False,2024,journal-article,Faculty of Science and Technology | EEMCS | ET
12,38429,hybrid,True,False,2024,journal-article,TNW
13,1081,hybrid,True,True,2024,journal-article,TNW
14,1122,hybrid,True,False,2024,journal-article,TNW
15,38430,closed,False,False,2024,journal-article,ET
16,38431,closed,False,False,2024,journal-article,TNW
17,38432,gold,True,False,2024,journal-article,EEMCS
18,38433,hybrid,True,False,2024,journal-article,BMS
19,1215,gold,True,True,2024,journal-article,TNW | BMS
20,1304,closed,False,False,2024,journal-article,TNW
21,38434,bronze,True,False,2024,journal-article,TNW | Faculty of Science and Technology
22,38435,hybrid,True,False,2024,journal-article,TNW
23,38436,closed,False,False,2024,journal-article,TNW
24,38437,hybrid,True,True,2024,journal-article,ITC
25,38438,hybrid,True,False,2024,journal-article,
26,39187,gold,True,False,2024,journal-article,TNW
27,1591,hybrid,True,False,2024,journal-article,BMS
28,1627,hybrid,True,False,2024,journal-article,BMS
29,39188,gold,True,False,2024,journal-article,TNW
30,1934,closed,False,False,2024,journal-article,BMS
31,38439,hybrid,True,False,2024,journal-article,TNW | EEMCS
32,39147,closed,False,False,2024,journal-article,TNW
33,39148,closed,False,False,2024,journal-article,TNW
34,1996,closed,False,True,2024,journal-article,TNW
35,38440,hybrid,True,False,2024,journal-article,TNW
36,38441,gold,True,False,2024,journal-article,ITC
37,38442,hybrid,True,False,2024,journal-article,ET
38,39189,hybrid,True,False,2024,journal-article,ET
39,2289,hybrid,True,False,2024,journal-article,TNW
40,5535,hybrid,True,True,2024,journal-article,
41,38504,hybrid,True,False,2024,journal-article,TNW
42,5608,hybrid,True,True,2024,journal-article,ITC
43,39195,hybrid,True,False,2024,journal-article,ET
44,38505,closed,False,False,2024,journal-article,ET
45,5881,hybrid,True,False,2024,journal-article,ET
46,38507,hybrid,True,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
47,38508,hybrid,True,True,2024,journal-article,ET
48,38509,hybrid,True,False,2024,journal-article,ET
49,39150,hybrid,True,False,2024,journal-article,TNW
50,38510,hybrid,True,False,2024,journal-article,EEMCS
51,38511,hybrid,True,False,2024,journal-article,EEMCS
52,6119,closed,False,False,2024,journal-article,ITC
53,38512,closed,False,True,2024,journal-article,ITC
54,6211,closed,False,False,2024,journal-article,
55,6233,hybrid,True,True,2024,journal-article,BMS
56,38513,hybrid,True,False,2024,journal-article,TNW | BMS
57,38514,hybrid,True,False,2024,journal-article,ITC
58,38515,hybrid,True,False,2024,journal-article,EEMCS
59,6462,hybrid,True,False,2024,journal-article,CHOIR | BMS
60,6512,hybrid,True,True,2024,journal-article,BMS
61,6529,hybrid,True,False,2024,journal-article,BMS
62,38516,hybrid,True,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
63,38518,hybrid,True,True,2024,journal-article,EEMCS
64,39151,closed,False,False,2024,journal-article,ET
65,38519,hybrid,True,True,2024,journal-article,ITC
66,6844,hybrid,True,False,2024,journal-article,BMS
67,38520,hybrid,True,False,2024,journal-article,BMS
68,7242,hybrid,True,False,2024,journal-article,TNW | CFM
69,38521,green,True,False,2024,journal-article,EEMCS
70,38525,hybrid,True,False,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS | BMS"
71,38526,hybrid,True,False,2024,journal-article,
72,38527,hybrid,True,False,2024,journal-article,TNW | BMS
73,7651,bronze,True,False,2024,journal-article,BMS
74,7722,hybrid,True,False,2024,journal-article,
75,38528,hybrid,True,False,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
76,38529,hybrid,True,False,2024,journal-article,ET
77,39152,gold,True,False,2024,journal-article,TNW | ET
78,7832,gold,True,True,2024,journal-article,BMS
79,38532,hybrid,True,False,2024,journal-article,BMS
80,38533,hybrid,True,False,2024,journal-article,
81,38534,hybrid,True,False,2024,journal-article,BMS
82,8115,bronze,True,False,2024,journal-article,ET
83,39198,closed,False,False,2024,journal-article,ITC
84,8133,closed,False,False,2024,journal-article,TNW
85,8145,hybrid,True,False,2024,journal-article,ET
86,8146,closed,False,False,2024,journal-article,TNW
87,38545,closed,False,False,2024,journal-article,ET
88,38546,closed,False,True,2024,journal-article,TNW
89,8474,hybrid,True,True,2024,journal-article,TNW | ET
90,39201,hybrid,True,False,2024,journal-article,ET
91,8485,closed,False,False,2024,journal-article,EEMCS | ET
92,8486,hybrid,True,False,2024,journal-article,BMS
93,8487,bronze,True,False,2024,journal-article,ET
94,8500,hybrid,True,False,2024,journal-article,ITC
95,38551,closed,False,False,2024,journal-article,ET
96,38553,gold,True,False,2024,journal-article,ET
97,39202,hybrid,True,False,2024,journal-article,ITC
98,8745,bronze,True,False,2024,journal-article,TNW
99,8863,hybrid,True,False,2024,journal-article,ET
100,8958,hybrid,True,True,2024,journal-article,TNW | BMS
101,8960,closed,False,False,2024,journal-article,
102,8987,closed,False,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
103,8995,bronze,True,False,2024,journal-article,EEMCS
104,39204,green,True,False,2024,journal-article,EEMCS
105,9051,hybrid,True,False,2024,journal-article,EB
106,9198,hybrid,True,False,2024,journal-article,TNW
107,39206,closed,False,False,2024,journal-article,BMS
108,38564,gold,True,False,2024,journal-article,BMS
109,9279,hybrid,True,False,2024,journal-article,TNW
110,38567,closed,False,False,2024,journal-article,TNW
111,9343,hybrid,True,False,2024,journal-article,ET
112,38568,hybrid,True,False,2024,journal-article,EEMCS
113,9489,bronze,True,False,2024,journal-article,BMS
114,9507,hybrid,True,True,2024,journal-article,ET
115,38569,hybrid,True,True,2024,journal-article,EEMCS
116,38570,hybrid,True,False,2024,journal-article,ET
117,38572,hybrid,True,False,2024,journal-article,ITC
118,39153,hybrid,True,False,2024,journal-article,ITC
119,9753,hybrid,True,False,2024,journal-article,
120,9754,closed,False,False,2024,journal-article,ET
121,38574,hybrid,True,False,2024,journal-article,ET
122,9766,closed,False,False,2024,journal-article,FIP | ET
123,9808,closed,False,False,2024,journal-article,BMS
124,38575,closed,False,False,2024,journal-article,BMS
125,38576,closed,False,False,2024,journal-article,ET
126,9815,bronze,True,True,2024,journal-article,BMS
127,38577,hybrid,True,False,2024,journal-article,EEMCS
128,9838,hybrid,True,True,2024,journal-article,ET
129,9839,hybrid,True,False,2024,journal-article,ET
130,38578,hybrid,True,False,2024,journal-article,"Faculty of Faculty of Behavioural, Management and Social Sciences | BMS"
131,9936,hybrid,True,False,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
132,9969,hybrid,True,False,2024,journal-article,TNW
133,38579,hybrid,True,False,2024,journal-article,TNW
134,9990,gold,True,True,2024,journal-article,MS3 | ET
135,38580,gold,True,False,2024,journal-article,ET
136,38581,gold,True,False,2024,journal-article,BMS
137,10007,hybrid,True,False,2024,journal-article,"TNW | Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
138,10051,bronze,True,True,2024,journal-article,BMS
139,38582,gold,True,False,2024,journal-article,ITC
140,10214,closed,False,True,2024,journal-article,BMS
141,38585,hybrid,True,False,2024,journal-article,ET
142,39210,closed,False,False,2024,journal-article,TNW | BMS
143,38590,closed,False,True,2024,journal-article,BMS
144,38591,closed,False,False,2024,journal-article,
145,39212,closed,False,False,2024,journal-article,
146,10471,closed,False,True,2024,journal-article,TNW
147,10473,closed,False,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
148,38592,hybrid,True,False,2024,journal-article,MS3 | ET
149,38593,closed,False,False,2024,journal-article,ET
150,10544,closed,False,False,2024,journal-article,TNW | 4TU-HTM
151,10557,hybrid,True,False,2024,journal-article,BMS
152,38594,gold,True,False,2024,journal-article,TNW
153,10574,hybrid,True,False,2024,journal-article,
154,39213,hybrid,True,False,2024,journal-article,BMS
155,10648,bronze,True,False,2024,journal-article,ITC
156,39215,hybrid,True,False,2024,journal-article,EEMCS
157,10679,hybrid,True,True,2024,journal-article,ET
158,10680,bronze,True,False,2024,journal-article,BMS
159,38595,gold,True,False,2024,journal-article,BMS
160,38596,gold,True,False,2024,journal-article,BMS
161,38597,hybrid,True,False,2024,journal-article,
162,10691,closed,False,True,2024,journal-article,ET
163,10692,hybrid,True,True,2024,journal-article,ET
164,10709,closed,False,True,2024,journal-article,BMS
165,10710,hybrid,True,True,2024,journal-article,BMS
166,38598,closed,False,True,2024,journal-article,
167,38599,hybrid,True,False,2024,journal-article,ET
168,39218,gold,True,False,2024,journal-article,ITC
169,11011,hybrid,True,False,2024,journal-article,ITC
170,11012,closed,False,False,2024,journal-article,
171,11017,closed,False,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
172,11058,bronze,True,True,2024,journal-article,BMS
173,11078,gold,True,False,2024,journal-article,ITC
174,38601,gold,True,True,2024,journal-article,ITC
175,39154,gold,True,False,2024,journal-article,ITC
176,38602,hybrid,True,False,2024,journal-article,EEMCS | ITC
177,11120,gold,True,False,2024,journal-article,TNW
178,38604,gold,True,False,2024,journal-article,MS3 | ET
179,38605,gold,True,False,2024,journal-article,BMS
180,11136,hybrid,True,False,2024,journal-article,BMS
181,11142,hybrid,True,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS | ET"
182,38606,hybrid,True,False,2024,journal-article,TNW | Faculty of Science and Technology
183,11205,closed,False,False,2024,journal-article,TNW
184,38607,hybrid,True,False,2024,journal-article,BMS
185,38608,gold,True,False,2024,journal-article,BMS
186,11234,closed,False,True,2024,journal-article,
187,38609,closed,False,False,2024,journal-article,
188,11259,hybrid,True,True,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | EEMCS"
189,38610,hybrid,True,False,2024,journal-article,ET
190,11293,hybrid,True,True,2024,journal-article,TNW
191,11294,closed,False,False,2024,journal-article,TNW | EEMCS
192,38611,hybrid,True,False,2024,journal-article,TNW | Faculty of Science and Technology
193,39219,hybrid,True,False,2024,journal-article,TNW | Faculty of Science and Technology
194,11298,hybrid,True,True,2024,journal-article,ITC
195,38612,hybrid,True,True,2024,journal-article,ITC
196,11320,hybrid,True,True,2024,journal-article,ET
197,11321,hybrid,True,True,2024,journal-article,ET
198,11322,closed,False,True,2024,journal-article,ET
199,11382,hybrid,True,True,2024,journal-article,TNW
200,38614,hybrid,True,False,2024,journal-article,TNW
201,38615,hybrid,True,True,2024,journal-article,
202,39220,hybrid,True,False,2024,journal-article,ET
203,38616,hybrid,True,False,2024,journal-article,BMS
204,39221,hybrid,True,False,2024,journal-article,ITC
205,11574,closed,False,False,2024,journal-article,EEMCS
206,38617,closed,False,False,2024,journal-article,ITC
207,38618,gold,True,True,2024,journal-article,EEMCS
208,11930,gold,True,False,2024,journal-article,ITC
209,11931,hybrid,True,True,2024,journal-article,ITC
210,38619,gold,True,False,2024,journal-article,4TU | ITC
211,38620,gold,True,False,2024,journal-article,ITC
212,11963,hybrid,True,True,2024,journal-article,BMS
213,12026,hybrid,True,False,2024,journal-article,ET
214,38621,hybrid,True,False,2024,journal-article,"Faculty of Electrical Engineering, Mathematics and Computer Science | ET"
215,39223,closed,False,False,2024,journal-article,TNW | ET
216,38622,closed,False,False,2024,journal-article,TNW
217,12188,hybrid,True,True,2024,journal-article,BMS
218,12308,closed,False,False,2024,journal-article,
219,12343,hybrid,True,True,2024,journal-article,EEMCS
220,38625,hybrid,True,False,2024,journal-article,EEMCS
221,38626,hybrid,True,False,2024,journal-article,ET
222,12349,closed,False,True,2024,journal-article,TNW
223,12434,hybrid,True,True,2024,journal-article,ITC
224,12435,hybrid,True,True,2024,journal-article,ITC
225,38628,closed,False,False,2024,journal-article,
226,38629,closed,False,False,2024,journal-article,
227,12473,hybrid,True,False,2024,journal-article,TNW
