pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
264254239,2021-06-12,2021-06-12,,Multi-timescale Microscopy Methods for the Characterization of Fluorescently-labeled Microbubbles for Ultrasound-Triggered Drug Release,"Lajoinie, Guillaume Pierre René | Nawijn, Charlotte Louise | Segers, Tim Joseph | Versluis, Andreas Michael","Berg, Sigrid | Lajoinie, Guillaume | Mørch, Ýrr | Nawijn, Charlotte | Segers, Tim | Snipstad, Sofie | Versluis, Michel | de Lange Davies, Catharina",Biomedical and Environmental Sensorsystems | MESA+ Institute | Max Planck Center | Physics of Fluids | TechMed Centre,https://doi.org/10.3791/62251,http://www.scopus.com/inward/record.url?scp=85109678894&partnerID=8YFLogxK,,,4245.97,2021-08-02 11:24:37.155,Nawijn-2021-Multi-timescale-microscopy-methods-,,e62251,Article,2021,Open,,2024-01-06 19:25:04.864,Scopus,,Journal of visualized experiments : JoVE,1940-087X,3108225 | 3117567 | 3130982 | 196091310,,False,MYJoVE Corporation,,,,
300985503,2023-12-01,2023-12-01,,Droplet microreactor for high-throughput fluorescence-based measurements of single catalyst particle acidity,"Bomer, Johan G. | Odijk, Mathieu | Tiggelaar, Roald M. | Vollenbroek, Jeroen Christiaan | van den Berg, Albert","Bomer, Johan G. | Nieuwelink, Anne-Eva  | Odijk, Mathieu | Tiggelaar, Roald M. | Vollenbroek, Jeroen C. | Weckhuysen, Bert M. | van den Berg, Albert",Biomedical and Environmental Sensorsystems | MESA+ Institute | Mesa+ | Nanolab,https://doi.org/10.1038/s41378-023-00495-2,,11,,4140.56,2023-03-30 08:16:53.078,Article,,39,Article,2023,Open,,2024-03-01 06:11:19.32,,,Microsystems & nanoengineering,2055-7434,3074006 | 3111360 | 3119172 | 3129872 | 3140675,,True,Nature Publishing Group,,,,
283016098,2022-05-23,2022-05-23,2022-05-23,"Systematic characterization of cleanroom-free fabricated macrovalves, demonstrating pumps and mixers for automated fluid handling tuned for organ-on-chip applications","Bossink, Elsbeth Gerjanne Bernadette Maria | Loessberg-Zahl, Joshua Taylor | Odijk, Mathieu | Segerink, Loes Irene | Vollertsen, Anke Ricarda | van der Meer, Andries Dirk","Bossink, Elsbeth G. B. M. | Loessberg-Zahl, Joshua T. | Meer, Andries D. van der | Odijk, Mathieu | Segerink, Loes I. | Vollertsen, Anke R.",Applied Stem Cell Technologies | Biomedical and Environmental Sensorsystems | MESA+ Institute | TechMed Centre,https://doi.org/10.1038/s41378-022-00378-y,,,,3859.9,2022-07-06 10:13:18.975,Bossink-2022-Systematic-characterization-of-clea,,54,Article,2022,Open,,2024-02-10 09:29:16.986,ORCID,,Microsystems & nanoengineering,2055-7434,3027569 | 3059204 | 3089168 | 3105995 | 3119172 | 60520051,,True,Nature Publishing Group,,,,
268158790,2021-10-15,2021-10-15,,Facilitating implementation of organs-on-chips by open platform technology,"Odijk, Mathieu | Vollertsen, Anke Ricarda | de Sá Vivas, Aisen Gabriel | van den Berg, Albert | van der Meer, Andries Dirk","Odijk, Mathieu | Vivas, Aisen | Vollertsen, Anke R. | van Meer, Berend | van den Berg, Albert | van der Meer, Andries D.",Applied Stem Cell Technologies | Biomedical and Environmental Sensorsystems | MESA+ Institute | Max Planck Center | TechMed Centre,https://doi.org/10.1063/5.0063428,http://www.scopus.com/inward/record.url?scp=85117091325&partnerID=8YFLogxK,,,3685.18,2021-11-10 09:02:59.566,Vollertsen-2021-Facilitating-implementation-of-orga,,051301,Review article,2021,Open,,2024-01-06 23:50:19.101,Scopus,,Biomicrofluidics,1932-1058,3027569 | 3041280 | 3074006 | 3105995 | 3119172,,False,American Institute of Physics,,,,
312531089,2023-03-28,2023-03-28,,Oxygen gradient generator to improve in vitro modeling of ischemic stroke,"Bossink, Elsbeth Gerjanne Bernadette Maria | le Feber, Jakob","Bossink, Elsbeth | Kallio, Pasi | Kreutzer, Joose | Santiago, João | le Feber, Joost",Biomedical and Environmental Sensorsystems | Clinical Neurophysiology | MESA+ Institute | TechMed Centre,https://doi.org/10.3389/fnins.2023.1110083,http://www.scopus.com/inward/record.url?scp=85152577581&partnerID=8YFLogxK,,,3670.11,2023-07-18 14:29:50.436,fnins-17-1110083,,1110083,Article,2023,Open,ischemic penumbra | hypoxia | microelectrode arrays (MEAs) | oxygen gradient | in vitro model | ischemic stroke | neuronal cultures,2024-01-03 14:51:41.266,Scopus,,Frontiers in Neuroscience,1662-4548,3021945 | 60520051,,True,Frontiers Research Foundation,,,,
255134692,2021-06-07,2021-06-07,,Anatomy-aided deep learning for medical image segmentation,"Brune, Christoph | Liu, Lu | Veldhuis, Raymond | Wolterink, Jelmer Maarten","Brune, Christoph | Liu, Lu | Veldhuis, Raymond N.J. | Wolterink, Jelmer M.",Applied Analysis | Datamanagement & Biometrics | Digital Society Institute | Mathematics of Imaging & AI | TechMed Centre,https://doi.org/10.1088/1361-6560/abfbf4,,,,3448.5,2021-06-07 13:49:27.299,Article,,11TR01,Review article,2021,Open,UT-Hybrid-D,2024-03-17 02:08:06.48,ORCID,,Physics in medicine and biology,0031-9155,3017802 | 3124471 | 74739046 | 178053516,,False,Institute of Physics (IOP),,,,
275803612,2021-06-09,2021-06-09,,Organosilicon uptake by biological membranes,"Beekman, Pepijn | Enciso Martinez, Agustin | Le Gac, Severine | Otto, Cornelis | Terstappen, Leonardus Wendelinus Mathias Marie","Beekman, Pepijn | Enciso-Martinez, Agustin | Le Gac, Séverine | Otto, Cees | Pujari, Sidharam P. | Terstappen, Leon W.M.M. | Zuilhof, Han T.",Applied Microfluidics for BioEngineering Research | MESA+ Institute | Medical Cell Biophysics | TechMed Centre,https://doi.org/10.1038/s42003-021-02155-5,http://www.scopus.com/inward/record.url?scp=85107437025&partnerID=8YFLogxK,,,3242.8,2022-01-21 15:02:46.485,s42003-021-02155-5,,704,Article,2021,Open,UT-Gold-D,2024-01-05 03:04:37.063,Scopus,,Communications Biology,,3044007 | 3092471 | 3093227 | 3116266 | 3145179,,True,Springer,,,,
277093858,2022-01-03,2022-10-01,2022-01-03,Observing Altered Nociceptive Detection Thresholds in Patients With Persistent Spinal Pain Syndrome Type 2 With a Dorsal Root Ganglion Stimulator,"Berfelo, Tom | Buitenweg, Jan R. | Doll, Robert J.","Berfelo, Tom | Buitenweg, Jan Reinoud | Doll, Robert-Jan | Krabbenbos, Imre Poldino",Biomedical Signals and Systems,https://doi.org/10.1016/j.neurom.2021.10.023,http://www.scopus.com/inward/record.url?scp=85124842913&partnerID=8YFLogxK,9,1006-1014,3060.0,2022-03-02 10:18:45.08,Article,,,Article,2022,Open,generalized linear mixed model | PSPS-T2 patients | 22/1 OA procedure | nociceptive detection threshold | Dorsal root ganglion stimulation | nociceptive processing,2024-01-14 05:42:29.831,Scopus,,Neuromodulation,1094-7159,3091194 | 3123728 | 94495712,,False,Elsevier,,,,
250899463,2021-02-17,2021-02-17,,Foot progression angle estimation using a single foot-worn inertial sensor,"Veltink, Petrus H. | Wouda, Frank | van Beijnum, Bernhard J.F.","Harlaar, Jaap | Jaspar, Stephan L.J.O. | Veltink, Peter H. | Wouda, Frank J. | van Beijnum, Bert-Jan F.",Biomedical Signals and Systems | TechMed Centre,https://doi.org/10.1186/s12984-021-00816-4,,,,2837.45,2021-02-18 11:56:52.648,10.1186_s12984-021-00816-4,,37,Article,2021,Open,,2024-02-29 11:58:39.791,,,Journal of neuroengineering and rehabilitation,1743-0003,3022336 | 3068944 | 291950845,,True,BioMed Central,Data and software underlying the publication: Foot progression angle estimation using a single foot-worn inertial sensor,355520854,10.4121/67b940cb-d316-43c5-82bd-1cf2494bc677,https://data.4tu.nl/datasets/67b940cb-d316-43c5-82bd-1cf2494bc677 | https://data.4tu.nl/datasets/67b940cb-d316-43c5-82bd-1cf2494bc677/1
299844523,2022-01-01,2022-01-01,,A Supervised Learning Framework for Joint Estimation of Angles-of-Arrival and Number of Sources,"Alayón Glazunov, Andrés | Kanters, Noud Benjamin","Alayón Glazunov, Andrés | Kanters, Noud",Radio Systems,https://doi.org/10.1109/ACCESS.2022.3216626,http://www.scopus.com/inward/record.url?scp=85141120886&partnerID=8YFLogxK,14,112086-112099,2724.86,2023-03-17 16:26:59.547,Article,,,Article,2022,Open,Angle-of-arrival estimation | Number of sources detection | Supervised learning | Feedforward neural network,2024-02-23 18:34:34.856,Scopus,,IEEE Access,2169-3536,22914229 | 176434164,,True,IEEE,,,,
293089207,2023-05-29,2023-05-29,,Cognitive Bias Modification Training Targeting Fatigue in Patients With Kidney Disease,"Bode, Christina | Geerts, Jody Amber | Laverman, Gozewijn Dirk | Oosterom, Nicole | Pieterse, Marcel E.","Bode, Christina | Geerts, Jody | Laverman, Goos | Oosterom, Nicole | Pieterse, Marcel | Salemink, Elske | Slegten, Jacqueline | Waanders, Femke","Biomedical Signals and Systems | Digital Society Institute | Psychology, Health & Technology | TechMed Centre",https://doi.org/10.2196/43636,,,,2717.17,2023-01-10 11:04:31.159,Article,,e43636,Article,2023,Open,,2024-01-04 09:41:50.629,ORCID,,JMIR Formative Research,2561-326X,3078611 | 3081942 | 97774057 | 237721301 | 300937458,,True,JMIR Publications,,,,
306438661,2023-04-18,2023-05-01,2023-04-18,Automated assessment of human engineered heart tissues using deep learning and template matching for segmentation and tracking,"Boonen, Tom Mathijs Paulus Maria | Cofino Fabres, Carla | Passier, Petrus Christianus Johannes Josephus | Rivera Arbelaez, José Manuel | Segerink, Loes Irene | Strisciuglio, Nicola | Ten Den, Simone Anouk | Vermeul, Kim | van den Berg, Albert","Boonen, Tom | Cofiño-Fabres, Carla | Dostanic, Milica | Keekstra, Danjel | Mastrangeli, Massimo | Passier, Robert | Ribeiro, Marcelo C. | Rivera-Arbeláez, José M. | Segerink, Loes I. | Strisciuglio, Nicola | Vermeul, Kim | ten Den, Simone A. | van den Berg, Albert",Applied Stem Cell Technologies | Biomedical and Environmental Sensorsystems | Datamanagement & Biometrics | MESA+ Institute | Mesa+ | TechMed Centre,https://doi.org/10.1002/btm2.10513,http://www.scopus.com/inward/record.url?scp=85153269093&partnerID=8YFLogxK,15,,2601.5,2023-05-24 16:40:15.503,Bioengineering Transla Med - 2023 - Rivera‐Arbel ez - Automated assessment of human engineered heart tissues using deep,,e10513,Article,2023,Open,segmentation | deep learning | engineered heart tissues | automated tracking | cardiac performance | contractile force | template matching | sub-pixel interpolation,2024-03-01 06:12:37.305,Scopus,,Bioengineering and Translational Medicine,2380-6761,3059204 | 3074006 | 3090212 | 3112201 | 17112761 | 60520116 | 67475511 | 136834918 | 150907479,,True,Wiley,,,,
280962772,2022-05-24,2022-12-01,2022-05-24,Factors used by general practitioners for referring patients with chronic musculoskeletal pain,"Jansen, Duncan Jurriaan | Prosman, Gert-Jan | Slatman, Eli Sylvester | d'Hollosy, Wendeline","Broeks, Jose | Jansen, Duncan Jurriaan | Mossink, Annemiek | Prosman, Gert-Jan | Slatman, Eli Sylvester | d'Hollosy, Wendy | van der Lugt, Peter","Biomedical Signals and Systems | Datamanagement & Biometrics | Digital Society Institute | Psychology, Health & Technology | TechMed Centre",https://doi.org/10.1186/s12875-022-01743-6,,12,,2595.45,2022-06-02 10:45:03.686,Article,,126,Article,2022,Open,"Chronic musculoskeletal pain | , Referral factors | Semi-structured interviews | General practitioners",2024-01-05 17:32:51.9,,,BMC family practice,1471-2296,3035888 | 39784532 | 136835799 | 206720565,,True,BioMed Central,,,,
287281875,2022-10-05,2022-10-05,,The Limitations of User-and Human-Centered Design in an eHealth Context and How to Move Beyond Them,"Grünloh, Christiane | Ludden, Geke Dina Simone | van Velsen, Lex Stefan","Grünloh, Christiane | Ludden, Geke | Velsen, Lex van",Biomedical Signals and Systems | Communication Science | Interaction Design | TechMed Centre,https://doi.org/10.2196/37341,,,,2532.2,2022-11-01 09:34:46.291,Van-velsen-2022-The-limitations-of-user-and-human-c,,e37341,Article,2022,Open,,2024-03-09 04:38:22.537,ORCID,,Journal of medical internet research,1439-4456,3098467 | 3131923 | 157479776,,True,JMIR Publications,,,,
