Name,Last name,First name(s),Links,Former name,Known as name,Default publishing name,Created date,Last modified date,Pure ID,ISNI,Digital author ID,Scopus Author ID,ORCID,Organisational unit name
"Akbari, Shima",Akbari,Shima,,,,,2024-03-15 21:30:28.248,2024-03-15 21:30:28.248,358390907,,,,,Robotics and Mechatronics
"Berkhout, Julian",Berkhout,Julian,,,,,2024-03-11 21:31:00.19,2024-03-11 21:31:00.19,357597707,,,,,Robotics and Mechatronics
"Zandrazavi, Seyed Farhad",Zandrazavi,Seyed Farhad,,,,,2024-03-01 21:31:15.437,2024-03-01 21:31:15.437,356109527,,,,,Power Electronics
"Fatime, Oumar Djibrillah",Fatime,Oumar Djibrillah,,,,,2024-03-01 21:30:30.212,2024-03-12 21:30:22.928,356108891,,,,,Biomedical Signals and Systems | Digital Society Institute | TechMed Centre
"Domingo Gil, Francisco José",Domingo Gil,Francisco José,,,,,2024-02-20 21:30:43.272,2024-02-20 21:30:43.272,354584827,,,,,Robotics and Mechatronics
"Wopereis, Suzan",Wopereis,Suzan,,,,,2024-02-12 21:30:38.976,2024-02-12 21:30:38.976,353107130,,,,,Biomedical Signals and Systems
"Garcia, Nil",Garcia,Nil,,,,,2024-02-06 21:30:27.959,2024-02-20 21:30:05.521,352100225,,,,,
"De Martines, Dion",De Martines,Dion,,,,,2024-02-01 21:31:56.604,2024-02-01 21:31:56.604,351371836,,,,,Biomedical Signals and Systems
"Wloka, Carsten",Wloka,Carsten,,,,,2024-02-01 21:31:48.851,2024-02-01 21:31:48.851,351371732,,,,,Biomedical and Environmental Sensorsystems
"Keizers, Thomas",Keizers,Thomas,,,,,2024-02-01 21:31:48.016,2024-02-01 21:31:48.016,351371719,,,,,Biomedical Signals and Systems
"Cui, Bo",Cui,Bo,,,,,2024-02-01 21:30:40.334,2024-02-01 21:30:40.334,351370539,,,,,Biomedical Signals and Systems
"Zanella, Riccardo",Zanella,Riccardo,,,,,2024-02-01 21:30:34.859,2024-02-18 03:16:43.896,351370464,,,57222594875,0000-0001-5764-9896,Robotics and Mechatronics
"Stergiou, Alexandros",Stergiou,Alexandros,https://alexandrosstergiou.github.io/ | https://scholar.google.com/citations?user=_E_Zs3kAAAAJ&hl=en&oi=sra,,,,2024-02-01 21:30:19.614,2024-03-14 23:57:04.913,351370171,,,57208111908,0000-0003-4706-4231,Datamanagement & Biometrics
"Hulsebos, Matthijs",Hulsebos,Matthijs,,,,,2024-02-01 21:30:19.599,2024-02-01 21:30:19.599,351370165,,,,,Biomedical Signals and Systems
"González Morgado, Antonio",González Morgado,Antonio,,,,,2024-02-01 21:30:16.717,2024-02-01 21:30:16.717,351370111,,,,,Robotics and Mechatronics
"Khademi Sharif Abad, Sepehr",Khademi Sharif Abad,Sepehr,,,,,2024-01-15 21:31:10.755,2024-01-15 21:31:10.755,348858392,,,,,Integrated Circuit Design
"Erinpurwala, Ali Asgar",Erinpurwala,Ali Asgar,,,,,2024-01-15 21:30:59.542,2024-02-13 21:30:37.624,348858332,,,,,Design and Analysis of Communication Systems | Digital Society Institute
"Chalapathi, Aditya",Chalapathi,Aditya,,,,,2024-01-15 21:30:49.995,2024-02-15 21:30:06.254,348858237,,,,,
"Fabrizio, Ginevra",Fabrizio,Ginevra,,,,,2024-01-15 21:30:39.202,2024-01-31 21:30:58.297,348858147,,,,,Design and Analysis of Communication Systems | Digital Society Institute
"de Geus, Florine",de Geus,Florine,,,,,2024-01-01 21:31:32.735,2024-01-02 00:06:45.533,346205749,,,,,Computer Architecture Design and Test for Embedded Systems
"Jutte, Anna",Jutte,Anna,,,,,2024-01-01 21:31:13.031,2024-03-14 09:46:56.051,346205403,,,,,Datamanagement & Biometrics
"Mohammadzadeh Hajipirloo, Maysam",Mohammadzadeh Hajipirloo,Maysam,,,,,2024-01-01 21:31:08.327,2024-01-02 00:06:43.857,346205280,,,,,Applied Microfluidics for BioEngineering Research
"Derla, Carol Robert",Derla,Carol Robert,,,,,2024-01-01 21:30:46.963,2024-01-02 00:06:43.082,346204899,,,,,Robotics and Mechatronics
