title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
Micro‐Engineered Heart Tissues on‐Chip with Heterotypic Cell Composition Display Self‐Organization and Improved Cardiac Function,https://doi.org/10.1002/adhm.202303664,2024,journal-article,,3D Bioprinting Technology,,Carla Cofiño‐Fabres | Robert Passier | Marcelo C. Ribeiro | José M. Rivera‐Arbeláez | Verena Schwach,BIOS,,True,hybrid,,,cc-by,,https://doi.org/10.1002/adhm.202303664,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adhm.202303664,https://openalex.org/W4392682336,,,,,Advanced Healthcare Materials,2192-2640,2192-2659,Wiley,,,,,,https://openalex.samuelmok.cc/paper/39146,https://openalex.samuelmok.cc/api/paper/39146,,
When Machine Learning Meets 2D Materials: A Review,https://doi.org/10.1002/advs.202305277,2024,journal-article,,,,Wilfred G. van der Wiel,NE,,True,gold,False,False,cc-by,,https://doi.org/10.1002/advs.202305277,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202305277,https://openalex.org/W4391281165,,,,,Advanced Science,2198-3844,,Wiley,,,,,,https://openalex.samuelmok.cc/paper/976,https://openalex.samuelmok.cc/api/paper/976,,
Acoustically Actuated Flow in Microrobots Powered by Axisymmetric Resonant Bubbles,https://doi.org/10.1002/aisy.202470004,2024,journal-article,,,,Yi-Sheng Lin | Sarthak Misra | Aniruddha Paul | Tim Segers | Martin R. P. van den Broek,BIOS,,True,bronze,False,False,cc-by-nc,,https://doi.org/10.1002/aisy.202470004,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aisy.202470004,https://openalex.org/W4391146225,,,,,Advanced intelligent systems,2640-4567,,Wiley,6,1,,,,https://openalex.samuelmok.cc/paper/1030,https://openalex.samuelmok.cc/api/paper/1030,,
Acoustically Actuated Flow in Microrobots Powered by Axisymmetric Resonant Bubbles,https://doi.org/10.1002/aisy.202470004,2024,journal-article,,,,Yi-Sheng Lin | Sarthak Misra | Aniruddha Paul | Tim Segers | Martin R. P. van den Broek,BIOS,,True,bronze,False,False,cc-by-nc,,https://doi.org/10.1002/aisy.202470004,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aisy.202470004,https://openalex.org/W4391146225,,,,,Advanced intelligent systems,2640-4567,,Wiley,6,1,,,,https://openalex.samuelmok.cc/paper/1030,https://openalex.samuelmok.cc/api/paper/1030,,
Acoustically Actuated Flow in Microrobots Powered by Axisymmetric Resonant Bubbles,https://doi.org/10.1002/aisy.202470004,2024,journal-article,,,,Yi-Sheng Lin | Sarthak Misra | Aniruddha Paul | Tim Segers | Martin R. P. van den Broek,BIOS,,True,bronze,False,False,cc-by-nc,,https://doi.org/10.1002/aisy.202470004,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aisy.202470004,https://openalex.org/W4391146225,,,,,Advanced intelligent systems,2640-4567,,Wiley,6,1,,,,https://openalex.samuelmok.cc/paper/1030,https://openalex.samuelmok.cc/api/paper/1030,,
‘Staying Hot’: Investigating the influence of overnight conditions on the penile skin temperature during male sexual arousal—A novel methodology for nocturnal erection detection,https://doi.org/10.1002/bco2.328,2024,journal-article,,Epidemiology and Management of Sexual Dysfunction | Hypersexual Disorder and Pornography Consumption | Evolutionary Psychology of Human Behavior and Attraction,,Loes Segerink,BIOS,,True,gold,,,cc-by,,https://doi.org/10.1002/bco2.328,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bco2.328,https://openalex.org/W4392107744,,,,,BJUI compass,2688-4526,,,,,,,,https://openalex.samuelmok.cc/paper/38432,https://openalex.samuelmok.cc/api/paper/38432,,
Interpreting and Correcting Medical Image Classification with PIP-Net,https://doi.org/10.1007/978-3-031-50396-2_11,2024,book-chapter,,,,Johannes H. Hegeman | Christin Seifert | Maurice van Keulen,BSS | DMB,,False,closed,False,False,,,https://doi.org/10.1007/978-3-031-50396-2_11,,https://openalex.org/W4391044633,,,,,,,,,,,198-215,18,,https://openalex.samuelmok.cc/paper/3491,https://openalex.samuelmok.cc/api/paper/3491,,
Interpreting and Correcting Medical Image Classification with PIP-Net,https://doi.org/10.1007/978-3-031-50396-2_11,2024,book-chapter,,,,Johannes H. Hegeman | Christin Seifert | Maurice van Keulen,BSS | DMB,,False,closed,False,False,,,https://doi.org/10.1007/978-3-031-50396-2_11,,https://openalex.org/W4391044633,,,,,,,,,,,198-215,18,,https://openalex.samuelmok.cc/paper/3491,https://openalex.samuelmok.cc/api/paper/3491,,
Interpreting and Correcting Medical Image Classification with PIP-Net,https://doi.org/10.1007/978-3-031-50396-2_11,2024,book-chapter,,,,Johannes H. Hegeman | Christin Seifert | Maurice van Keulen,BSS | DMB,,False,closed,False,False,,,https://doi.org/10.1007/978-3-031-50396-2_11,,https://openalex.org/W4391044633,,,,,,,,,,,198-215,18,,https://openalex.samuelmok.cc/paper/3491,https://openalex.samuelmok.cc/api/paper/3491,,
Exploring Genomic Sequence Alignment for Improving Side-Channel Analysis,https://doi.org/10.1007/978-3-031-51479-1_11,2024,book-chapter,978-3-031-51478-4,,,Nikolaos Alachiotis | Marco Ottavi,CAES,,False,closed,False,True,,,https://doi.org/10.1007/978-3-031-51479-1_11,,https://openalex.org/W4390742495,https://research.utwente.nl/en/publications/8f171bbd-90b9-457c-8a4b-e2345f052c2f,,,,,,,,,,203-221,19,,https://openalex.samuelmok.cc/paper/3495,https://openalex.samuelmok.cc/api/paper/3495,https://openalex.samuelmok.cc/api/pureentry/75925,https://openalex.samuelmok.cc/api/pilotpure/8561
Exploring Genomic Sequence Alignment for Improving Side-Channel Analysis,https://doi.org/10.1007/978-3-031-51479-1_11,2024,book-chapter,978-3-031-51478-4,,,Nikolaos Alachiotis | Marco Ottavi,CAES,,False,closed,False,True,,,https://doi.org/10.1007/978-3-031-51479-1_11,,https://openalex.org/W4390742495,https://research.utwente.nl/en/publications/8f171bbd-90b9-457c-8a4b-e2345f052c2f,,,,,,,,,,203-221,19,,https://openalex.samuelmok.cc/paper/3495,https://openalex.samuelmok.cc/api/paper/3495,https://openalex.samuelmok.cc/api/pureentry/75925,https://openalex.samuelmok.cc/api/pilotpure/8561
